Datetime,Open,High,Low,Close,Volume,premarketHigh,premarketLow,prevClose,EMA_90,EMA_200,EMA_8,EMA_21,MACD,MACD_signal,VWAP,MFI,OBV,BB_upper,BB_middle,BB_lower,SMA_20,SMA_50,SMA_200,ATR,RSI,Momentum,color_shading,orbHigh,orbLow,return_15m,return_30m,return_60m,return_240m,return_1440m,hour,minute,weekday,hour_sin,hour_cos,volatility_5
2024-08-26 13:00:00,126.47,126.6933,126.3108,126.56,15220856,130.93,129.09,129.21,,,,,,,126.52136666666668,,15220856.0,,,,,,,,,,red,,,0.0,0.0,0.0015012642225031426,0.0033185840707964736,0.015960809102402104,13,0,0,-0.2588190451025208,-0.9659258262890683,
2024-08-26 14:00:00,126.57,126.809,126.52,126.75,406116,130.93,129.09,129.21,,,,,,,126.5258270984637,,15626972.0,,,,,,,,,,red,,,0.0,0.0,-0.001577909270216985,0.0029191321499014164,0.00071005917159766,14,0,0,-0.4999999999999997,-0.8660254037844388,
2024-08-26 15:00:00,126.74,126.87,126.51,126.55,444841,130.93,129.09,129.21,,,,,,,126.52907947521955,,15182131.0,,,,,,,,,,red,,,0.0,0.0,0.00023706045041486479,-0.0003160806005530782,-0.011457921770051387,15,0,0,-0.7071067811865471,-0.7071067811865479,
2024-08-26 16:00:00,126.5887,126.7499,126.51,126.58,460352,130.93,129.09,129.21,,,,,,,126.53142466636807,,15642483.0,,,,,,,,,,red,,,0.0,0.0,0.003160056881023903,-0.0017380312845631132,-0.008492652867751643,16,0,0,-0.8660254037844385,-0.5000000000000004,
2024-08-27 01:00:00,126.7,127.31,126.25,126.98,494186,127.31,124.5,129.21,,,,,,,126.84666666666668,,16136669.0,,,,,,,,,,red,,,0.0,0.0,0.0011025358324145578,-0.015277996534887366,-0.008584816506536514,1,0,1,0.25881904510252074,0.9659258262890683,0.18447222013084016
2024-08-27 02:00:00,126.98,127.17,126.9,127.12,106778,127.31,124.5,129.21,,,,,,,126.88516353725015,,16243447.0,,,,,,,,,,red,,,0.0,0.0,-0.00479861548143486,-0.0022050031466331896,-0.02403241032095663,2,0,1,0.49999999999999994,0.8660254037844387,0.2490582261239351
2024-08-27 03:00:00,127.13,127.14,126.4,126.51,304155,127.31,124.5,129.21,,,,,,,126.81734078060455,,15939292.0,,,,,,,,,,red,,,0.0,0.0,-0.0011856770215793668,0.015492846415303088,-0.005058888625405111,3,0,1,0.7071067811865476,0.7071067811865476,0.28119388329051714
2024-08-27 04:00:00,126.56,126.86,126.11,126.36,600590,127.31,124.5,129.21,,,126.67625000000001,,,,126.66815847993648,,15338702.0,,,,,,,,,,red,,,0.0,0.0,-0.01044634377967706,0.013176638176638226,-0.005539727761950007,4,0,1,0.8660254037844386,0.5000000000000001,0.32419130154894943
2024-08-27 05:00:00,126.36,126.38,124.72,125.04,3013489,127.31,124.5,129.21,,,126.3126388888889,,,,125.80918938640586,,12325213.0,,,,,,,,,,red,,,0.0,0.0,0.014392994241842507,0.025159948816378765,-0.03659628918746007,5,0,1,0.9659258262890683,0.25881904510252074,0.8243300309948675
2024-08-27 06:00:00,125.04,127.6,123.88,126.8397,48680942,127.31,124.5,129.21,,,126.42976358024693,,,,126.0813053269371,,61006155.0,,,,,,,,,,red,,,0.0,0.0,0.012853231283265456,0.017031733755283295,-0.08940181977724636,6,0,1,1.0,6.123233995736766e-17,0.8018167608624788
